ReferenceGenome,SRA_Data
GCF_000013925.1_ASM1392v2_genomic.gbff.gz,SRR11970860
GCF_000013945.1_ASM1394v1_genomic.gbff.gz,SRR989790
GCF_000013965.1_ASM1396v1_genomic.gbff.gz,SRR5498135
GCF_000013985.1_ASM1398v1_genomic.gbff.gz,SRR5598937
GCF_000014005.1_ASM1400v1_genomic.gbff.gz,SRR2533537
GCF_000014025.1_ASM1402v1_genomic.gbff.gz,SRR5341910
GCF_000014045.1_ASM1404v1_genomic.gbff.gz,SRR5819474
GCF_000014065.1_ASM1406v1_genomic.gbff.gz,SRR955195
GCF_000014105.1_ASM1410v1_genomic.gbff.gz,SRR958012
GCF_000014125.1_ASM1412v1_genomic.gbff.gz,SRR955256
GCF_000014145.1_ASM1414v1_genomic.gbff.gz,SRR955194
GCF_000014185.1_ASM1418v1_genomic.gbff.gz,SRR948560
GCF_000014205.1_ASM1420v1_genomic.gbff.gz,SRR1609209
GCF_000014225.1_ASM1422v1_genomic.gbff.gz,SRR191899
GCF_000014285.2_ASM1428v2_genomic.gbff.gz,SRR500735
GCF_000014305.1_ASM1430v1_genomic.gbff.gz,SRR500735
GCF_000014325.1_ASM1432v1_genomic.gbff.gz,SRR500735
GCF_000014345.1_ASM1434v1_genomic.gbff.gz,SRR1034787
GCF_000014365.2_ASM1436v2_genomic.gbff.gz,SRR3111247
GCF_000014385.1_ASM1438v1_genomic.gbff.gz,SRR3938028
GCF_000014405.1_ASM1440v1_genomic.gbff.gz,SRR1608118
GCF_000014425.1_ASM1442v1_genomic.gbff.gz,SRR1609217
GCF_000014445.1_ASM1444v1_genomic.gbff.gz,SRR3923886
GCF_000014465.1_ASM1446v1_genomic.gbff.gz,SRR3927182
GCF_000014485.1_ASM1448v1_genomic.gbff.gz,SRR5648093
GCF_000014505.1_ASM1450v1_genomic.gbff.gz,SRR3924313
GCF_000014525.1_ASM1452v1_genomic.gbff.gz,SRR3927461
GCF_000014545.1_ASM1454v1_genomic.gbff.gz,SRR1609214
GCF_000014565.1_ASM1456v1_genomic.gbff.gz,SRR1609211
GCF_000014585.1_ASM1458v1_genomic.gbff.gz,SRR2533195
GCF_000014605.1_ASM1460v1_genomic.gbff.gz,DRR014735
GCF_000014625.1_ASM1462v1_genomic.gbff.gz,SRR1609248
GCF_000014645.1_ASM1464v1_genomic.gbff.gz,SRR1609273
GCF_000014685.1_ASM1468v1_genomic.gbff.gz,SRR1609236
GCF_000014705.1_ASM1470v1_genomic.gbff.gz,SRR1609227
GCF_000014725.1_ASM1472v1_genomic.gbff.gz,SRR1573735
GCF_000014745.1_ASM1474v1_genomic.gbff.gz,SRR935461
GCF_000014765.1_ASM1476v1_genomic.gbff.gz,SRR3314105
GCF_000014785.1_ASM1478v1_genomic.gbff.gz,SRR1183889
GCF_000014805.1_ASM1480v1_genomic.gbff.gz,SRR1183892
GCF_000014845.1_ASM1484v1_genomic.gbff.gz,SRR1183893
GCF_000014865.1_ASM1486v1_genomic.gbff.gz,SRR1183894
GCF_000014885.1_ASM1488v1_genomic.gbff.gz,SRR1183765
GCF_000014925.1_ASM1492v1_genomic.gbff.gz,SRR1183743
GCF_000014965.1_ASM1496v1_genomic.gbff.gz,SRR1183742
GCF_000014985.1_ASM1498v1_genomic.gbff.gz,SRR1183740
GCF_000015005.1_ASM1500v1_genomic.gbff.gz,SRR1183739
GCF_000015025.1_ASM1502v1_genomic.gbff.gz,SRR1183738
GCF_000015045.1_ASM1504v1_genomic.gbff.gz,SRR1183737
GCF_000015065.1_ASM1506v1_genomic.gbff.gz,SRR1183783
GCF_000015085.1_ASM1508v1_genomic.gbff.gz,SRR1183745
GCF_000015105.1_ASM1510v1_genomic.gbff.gz,SRR1183796
GCF_000015125.1_ASM1512v1_genomic.gbff.gz,SRR1183784
GCF_000015165.1_ASM1516v1_genomic.gbff.gz,SRR1183770
GCF_000015185.1_ASM1518v1_genomic.gbff.gz,SRR1183771
GCF_000015245.1_ASM1524v1_genomic.gbff.gz,SRR1183769
GCF_000015265.1_ASM1526v1_genomic.gbff.gz,SRR1183782
GCF_000015285.1_ASM1528v1_genomic.gbff.gz,SRR1183788
GCF_000015305.1_ASM1530v1_genomic.gbff.gz,SRR1183891
GCF_000015325.1_ASM1532v1_genomic.gbff.gz,SRR1183763
GCF_000015345.1_ASM1534v1_genomic.gbff.gz,SRR1183785
GCF_000015365.1_ASM1536v1_genomic.gbff.gz,SRR1183826
GCF_000015385.1_ASM1538v1_genomic.gbff.gz,SRR1183736
GCF_000015425.1_ASM1542v1_genomic.gbff.gz,SRR1183767
GCF_000015445.1_ASM1544v1_genomic.gbff.gz,SRR1183754
GCF_000015465.1_ASM1546v1_genomic.gbff.gz,SRR1183750
GCF_000015485.1_ASM1548v1_genomic.gbff.gz,SRR1183749
