RefSeq_ID,SRA_ID,Run_accession_ID,Assembly_ID
GCF_000017705.1,NA,NA,ASM1770v1
GCF_000017725.2,NA,NA,ASM1772v2
GCF_000017745.1,NA,NA,ASM1774v1
GCF_000017765.1,SRS6087289,SRR10997234,ASM1776v1
GCF_000017785.1,NA,NA,ASM1778v1
GCF_000017805.1,NA,NA,ASM1780v1
GCF_000017845.1,NA,NA,ASM1784v1
GCF_000017865.1,NA,NA,ASM1786v1
GCF_000017885.4,SRS183158,NA,ASM1788v4
GCF_000017905.1,NA,NA,ASM1790v1
GCF_000017965.1,NA,NA,ASM1796v1
GCF_000017985.1,NA,NA,ASM1798v1
GCF_000018025.1,SRS1689542,NA,ASM1802v1
GCF_000018045.1,NA,NA,ASM1804v1
GCF_000018065.1,NA,NA,ASM1806v1
GCF_000018105.1,NA,NA,ASM1810v1
GCF_000018125.1,NA,NA,ASM1812v1
GCF_000018145.1,NA,NA,ASM1814v1
GCF_000018185.1,NA,NA,ASM1818v1
GCF_000018205.1,NA,NA,ASM1820v1
GCF_000018225.1,NA,NA,ASM1822v1
GCF_000018245.1,NA,NA,ASM1824v1
GCF_000018285.1,NA,NA,ASM1828v1
GCF_000018325.1,SRS211707,NA,ASM1832v1
GCF_000018345.1,NA,NA,ASM1834v1
GCF_000018385.1,NA,NA,ASM1838v1
GCF_000018405.1,SRS211703,NA,ASM1840v1
GCF_000018425.1,NA,NA,ASM1842v1
GCF_000018445.1,NA,NA,ASM1844v1
GCF_000018505.1,SRS211700,NA,ASM1850v1
GCF_000018525.1,NA,NA,ASM1852v1
GCF_000018545.1,NA,NA,ASM1854v1
GCF_000018565.1,SRS211716,NA,ASM1856v1
GCF_000018605.1,SRS211724,NA,ASM1860v1
GCF_000018625.1,NA,NA,ASM1862v1
GCF_000018665.1,SRS211709,NA,ASM1866v1
GCF_000018685.1,NA,NA,ASM1868v1
GCF_000018705.1,NA,NA,ASM1870v1
GCF_000018725.1,NA,NA,ASM1872v1
GCF_000018745.1,NA,NA,ASM1874v1
GCF_000018765.1,SRS211729,NA,ASM1876v1
GCF_000018785.1,NA,NA,ASM1878v1
GCF_000018805.1,NA,NA,ASM1880v1
GCF_000018825.1,SRS211699,NA,ASM1882v1
GCF_000018845.1,SRS000216,NA,ASM1884v1
GCF_000018865.1,NA,NA,ASM1886v1
GCF_000018885.1,NA,NA,ASM1888v1
GCF_000018905.1,NA,NA,ASM1890v1
GCF_000018925.1,NA,NA,ASM1892v1
GCF_000018945.1,NA,NA,ASM1894v1
GCF_000018965.1,NA,NA,ASM1896v1
GCF_000018985.1,NA,NA,ASM1898v1
GCF_000019005.1,NA,NA,ASM1900v1
GCF_000019025.1,NA,NA,ASM1902v1
GCF_000019045.1,NA,NA,ASM1904v1
GCF_000019065.1,SRS211734,NA,ASM1906v1
GCF_000019085.1,NA,NA,ASM1908v1
GCF_000019125.1,SRS211727,NA,ASM1912v1
GCF_000019165.1,NA,NA,ASM1916v1
GCF_000019185.1,NA,NA,ASM1918v1
GCF_000019205.1,NA,NA,ASM1920v1
GCF_000019225.1,NA,NA,ASM1922v1
GCF_000019245.4,NA,NA,ASM1924v3
GCF_000019265.1,NA,NA,ASM1926v1
